model,trial,val_ndcg5,learning_rate,num_leaves,max_depth,min_child_samples,bagging_fraction,feature_fraction,lambda_l2,min_gain_to_split,eta,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma
lgbm,25,0.4049640943851307,0.053104150946541875,63.0,5,139.0,0.865390377489539,0.6199655453802487,21.42509520220391,0.08264108415292193,,,,,,,
lgbm,26,0.4043649788933535,0.060432208971628106,89.0,7,88.0,0.8932326821467517,0.608076266797636,39.62931376803189,0.250297857060582,,,,,,,
lgbm,27,0.4032438888525884,0.06474220474327277,77.0,8,118.0,0.9987445949253786,0.5585933693535253,0.013968074568465286,0.06159929049059787,,,,,,,
lgbm,28,0.4051950169869597,0.0891706905189399,95.0,6,148.0,0.8339366126888939,0.6807981641003958,8.836195427905835,0.15657733610553642,,,,,,,
lgbm,29,0.4050064805910611,0.0380345158417709,62.0,5,95.0,0.9164087998653863,0.5777684561526653,33.867324568628156,0.2494022354706435,,,,,,,
lgbm,30,0.4012338445356816,0.044590782640264455,84.0,9,48.0,0.772508308323939,0.764308070775475,0.003115749865634884,0.7646364262703473,,,,,,,
lgbm,31,0.40584696465540104,0.048974878927236586,98.0,6,133.0,0.8226601682942363,0.5264558438014028,19.086491604784925,0.009959917658068536,,,,,,,
lgbm,32,0.40516405593148314,0.04387964244025708,111.0,6,144.0,0.7609029974931544,0.598141727503734,48.97900389955478,0.01820317387515002,,,,,,,
lgbm,33,0.4047289769522136,0.05851315983321171,105.0,7,118.0,0.8517344002824194,0.5369326740776638,4.287909844156845,0.14290212327635518,,,,,,,
lgbm,34,0.40770515637637694,0.06948982318046586,93.0,5,200.0,0.8097632606931877,0.5021890874218926,94.69056401977865,0.1980624571623115,,,,,,,
lgbm,35,0.4030657085334399,0.07298177409899193,91.0,4,200.0,0.9104591979770239,0.5583340524328859,99.77912753159433,0.2157502772732075,,,,,,,
lgbm,36,0.40238334040698925,0.09816844828156586,120.0,5,171.0,0.8044615949386085,0.6403772837619363,11.585149714670608,0.3781886004162729,,,,,,,
lgbm,37,0.40478527562232325,0.07191263591604359,80.0,4,191.0,0.8745041958187834,0.5867513224513574,0.032468049944701566,0.17274741089333412,,,,,,,
lgbm,38,0.4055065765333649,0.03524241782939899,72.0,5,188.0,0.729801452367957,0.5295875836852644,3.4747945984351087,0.06593649060953945,,,,,,,
lgbm,39,0.40247935481277847,0.0205304195889644,94.0,8,156.0,0.9223999244161805,0.6206382293287718,0.13597408507948439,0.30118697979111625,,,,,,,
lgbm,40,0.40474591985521857,0.026147187498478785,87.0,5,108.0,0.8423561183275641,0.5453167924758107,0.4564207077362291,0.22309488259972943,,,,,,,
lgbm,41,0.40438515633958916,0.04067131888273343,102.0,6,171.0,0.7815315446677704,0.5070193418021202,28.85918623254839,0.12845923396549067,,,,,,,
lgbm,42,0.40688240348363325,0.053987397456491566,108.0,6,74.0,0.8000301847875508,0.5231046566550505,61.84062650267592,0.05655467971201589,,,,,,,
lgbm,43,0.40999535935744114,0.05646069147848251,110.0,7,74.0,0.8171502188950333,0.5631319470528909,65.27504384088257,0.09209235998925683,,,,,,,
lgbm,44,0.40742527284158475,0.054811105553111555,108.0,7,55.0,0.8164734576670164,0.5565963889789513,61.73322331856339,0.05776048443848672,,,,,,,
lgbm,45,0.4089383584668337,0.06275967080258812,119.0,7,74.0,0.8115532950191029,0.5216455682588443,62.965466340102125,0.07146357725030865,,,,,,,
lgbm,46,0.40691404894294747,0.08191697508164718,118.0,9,52.0,0.8185701415938772,0.5614186864095774,65.65942461607648,0.11729041117888783,,,,,,,
lgbm,47,0.40732240182996077,0.06690537908753655,123.0,7,27.0,0.6771291535654584,0.5456889241118221,14.037863727176813,0.9943019267014174,,,,,,,
lgbm,48,0.40597061223482783,0.06367055522561361,108.0,8,73.0,0.7536876946530351,0.5184297470293219,48.50535304292461,0.18485245747303372,,,,,,,
lgbm,49,0.40281993770236574,0.0786356959873256,124.0,7,58.0,0.7172974552051034,0.9000460190687762,99.55320494350467,0.06035013026316974,,,,,,,
xgb,0,0.4028285812416767,,,12,,,,,,0.023688639503640783,37.0,0.7993292420985183,0.5780093202212182,0.0060252157362038605,0.0019517224641449498,4.330880728874676
xgb,1,0.4048589071463139,,,10,,,,,,0.039913058785616795,2.0,0.9849549260809971,0.9162213204002109,0.011526449540315618,0.008111941985431923,0.9170225492671691
xgb,2,0.4053140971122108,,,8,,,,,,0.02014847788415866,22.0,0.645614570099021,0.8059264473611898,0.004982752357076452,0.028888383623653185,1.8318092164684585
xgb,3,0.3992740866566018,,,11,,,,,,0.028580510658069373,10.0,0.7571172192068059,0.7962072844310213,0.0017070728830306638,1.0907475835157694,0.8526206184364576
xgb,4,0.3996181253347502,,,12,,,,,,0.011615865989246453,49.0,0.9041986740582306,0.6523068845866853,0.0030786517836196197,2.6373339933815263,2.2007624686980067
xgb,5,0.4022266498964429,,,8,,,,,,0.01324458134009936,2.0,0.954660201039391,0.6293899908000085,2.054051942538846,0.03618723330959624,2.600340105889054
xgb,6,0.4009751326843049,,,5,,,,,,0.03521358805467869,49.0,0.8875664116805573,0.9697494707820946,29.794544625913645,0.9761125443110454,4.609371175115584
xgb,7,0.38968538783702245,,,5,,,,,,0.012260057359187526,3.0,0.6626651653816322,0.6943386448447411,0.022737628102536857,13.921548533046499,1.7837666334679465
xgb,8,0.402703984361992,,,8,,,,,,0.01909565280104538,8.0,0.9010984903770198,0.5372753218398854,85.98737339212276,7.264803074826729,0.993578407670862
xgb,9,0.39773445919373346,,,11,,,,,,0.010127963257331486,36.0,0.8645035840204937,0.8856351733429728,0.002345434227726052,0.061991000078022655,0.5793452976256486
xgb,10,0.4074416186591142,,,7,,,,,,0.07345826365245836,20.0,0.5089809378074099,0.7846562513261506,0.16420976667366668,62.92942010319501,3.3342913754128913
